id	side	department	sub_department	outcome	strategy	detail	owner	due_date	progress	editor	updated_at
H-216	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	④休眠復活PJ	定期はじめかたページの作成					2026-07-26
H-301	定量	本店	新規定期	新規定期 12,000件	アウトバウンド_イングリウッド社	600件/年 獲得					2026-07-26
H-302	定量	本店	新規定期	新規定期 12,000件	アウトバウンド_リプライオリティ社	600件/年 獲得					2026-07-26
CS-101	定量	CS	停止率	停止率 1% / 停止件数 600件以内	停止抑止PJ (課題: 「良い停止」と解約したくない停止が混在)	トークスクリプト					2026-07-26
CS-102	定量	CS	停止率	停止率 1% / 停止件数 600件以内	停止抑止PJ (課題: 「良い停止」と解約したくない停止が混在)	同梱物					2026-07-26
CS-103	定量	CS	停止率	停止率 1% / 停止件数 600件以内	停止抑止PJ (課題: 「良い停止」と解約したくない停止が混在)	LINE					2026-07-26
CS-104	定量	CS	停止率	停止率 1% / 停止件数 600件以内	停止抑止PJ (課題: 「良い停止」と解約したくない停止が混在)	メール					2026-07-26
CS-105	定量	CS	停止率	停止率 1% / 停止件数 600件以内	停止抑止PJ (課題: 「良い停止」と解約したくない停止が混在)	マイページ					2026-07-26
CS-201	定量	CS	解約率	解約率 0.5% / 解約件数 300件以内	解約抑止PJ (課題: 分量と価値の訴求不足)	継続率向上					2026-07-26
CS-202	定量	CS	解約率	解約率 0.5% / 解約件数 300件以内	解約抑止PJ (課題: 分量と価値の訴求不足)	CRMとの連動					2026-07-26
CS-301	定量	CS	復活率	復活率 0.5% / 復活件数 300件以上	復活架電PJ (課題: 休眠アプローチ量・武器の不足)	DM・架電 新商品を武器に					2026-07-26
P-101	定量	商品	管理:既存商品	既存商品 原価率13.5%以下 / 廃棄数 年4000個以下	過剰在庫の消化PJ (課題: 定常出荷で消化できない在庫)	過剰在庫数を共有し対応方法を月次で議論					2026-07-26
P-102	定量	商品	管理:既存商品	既存商品 原価率13.5%以下 / 機会損失ゼロ	機会損失"ゼロ"PJ (課題: 中東問題で製品制作に時間)	出荷シミュレーションをベースとした発注					2026-07-26
P-103	定量	商品	管理:既存商品	既存商品 原価率13.5%以下 / 機会損失ゼロ	機会損失"ゼロ"PJ (課題: 中東問題で製品制作に時間)	通常時より半月〜1ヶ月早い発注依頼					2026-07-26
P-104	定量	商品	管理:既存商品	既存商品 原価率13.5%以下 / モール Forecast	Forecast整備PJ	定常時のForecastを作成					2026-07-26
P-105	定量	商品	管理:既存商品	既存商品 原価率13.5%以下 / モール Forecast	Forecast整備PJ	モールのForecast すり合わせ					2026-07-26
P-106	定量	商品	管理:既存商品	既存商品 原価率13.5%以下 / モール Forecast	Forecast整備PJ	本店施策情報のキャッチアップ					2026-07-26
P-201	定量	商品	企画+開発:SIMIUS	新商品 原価率20%以下 / SIMIUS	SIMIUS 新製品開発PJ	4-3 / 4 / 5 / 6 発売					2026-07-26
P-202	定量	商品	企画+開発:TRIPURE	新商品 原価率20%以下 / TRIPURE	TRIPURE 新製品開発PJ	4-9 発売					2026-07-26
P-203	定量	商品	企画+開発:新ブランド	新商品 原価率20%以下 / 新ブランド	新ブランド開発PJ	4-9 発売					2026-07-26
